trade_id,trade_date,counterparty,product,currency,notional,trade_status,book,portfolio,settle_date
T0001,2026-02-01,ALPHA_BANK,IRS_SWAP,USD,2500000,Matched,NYC_IRS,PF1,2026-02-03
T0002,2026-02-01,BETA_CAPITAL,CDS_INDEX,USD,1500000,Break,NYC_CREDIT,PF2,2026-02-06
T0003,2026-02-02,GAMMA_MARKETS,FX_FWD,EUR,900000,Matched,LDN_FX,PF3,2026-02-04
T0004,2026-02-02,DELTA_SECURITIES,EQUITY_SWAP,USD,1200000,Pending,NYC_EQ,PF1,2026-02-05
T0005,2026-02-03,ALPHA_BANK,IRS_SWAP,USD,3000000,Break,NYC_IRS,PF2,2026-02-07
T0006,2026-02-03,OMEGA_PARTNERS,REPO,USD,800000,Matched,NYC_FI,PF4,2026-02-04
T0007,2026-02-04,BETA_CAPITAL,FX_SWAP,JPY,1100000,Pending,LDN_FX,PF3,2026-02-07
T0008,2026-02-04,GAMMA_MARKETS,CDS_SINGLE,USD,650000,Break,NYC_CREDIT,PF2,2026-02-10
T0009,2026-02-05,DELTA_SECURITIES,IRS_SWAP,USD,2100000,Matched,NYC_IRS,PF1,2026-02-07
T0010,2026-02-05,OMEGA_PARTNERS,FX_FWD,GBP,500000,Break,LDN_FX,PF4,2026-02-08
